'Elapsed time','chest_ecg','wrist_ppg','wrist_gyro_x','wrist_gyro_y','wrist_gyro_z','wrist_low_noise_accelerometer_x','wrist_low_noise_accelerometer_y','wrist_low_noise_accelerometer_z','wrist_wide_range_accelerometer_x','wrist_wide_range_accelerometer_y','wrist_wide_range_accelerometer_z','wrist_mag_x','wrist_mag_y','wrist_mag_z','sample_times_for_all_signals_apart_from_ecg'
'0:00.000',61.872,1210.915,8.923,-5.577,5.127,2.201,-2.966,8.879,2.091,-3,8.827,-0.052,0.643,-0.657,46.999
'0:00.004',28.704,1214.886,8.807,-5.803,4.78,2.163,-2.99,8.83,2.034,-3.019,8.797,-0.038,0.649,-0.703,47.003
'0:00.008',6.618,1218.649,8.701,-5.69,4.699,2.102,-3.013,8.829,2.044,-3.031,8.729,-0.038,0.649,-0.703,47.007
'0:00.012',2.545,1221.929,8.423,-5.435,4.766,2.053,-3.023,8.84,1.996,-3.019,8.757,-0.054,0.635,-0.674,47.011
'0:00.016',-15.507,1224.609,8.559,-5.313,4.806,1.991,-3.059,8.815,1.881,-3.106,8.706,-0.043,0.651,-0.639,47.015
'0:00.020',-18.209,1226.647,8.154,-5.652,4.666,2.003,-3.094,8.85,1.852,-3.134,8.724,-0.05,0.652,-0.655,47.019
'0:00.023',-34.108,1228.064,8.085,-6.368,3.677,2.028,-3.106,8.887,1.851,-3.171,8.812,-0.043,0.659,-0.668,47.023
'0:00.027',-41.94,1228.951,7.863,-6.424,3.269,2.076,-3.119,8.887,1.938,-3.183,8.803,-0.052,0.642,-0.67,47.027
'0:00.031',-47.579,1229.414,7.548,-6.33,3.409,2.064,-3.144,8.85,1.938,-3.183,8.803,-0.052,0.647,-0.637,47.031
'0:00.035',-33.834,1229.581,7.273,-6.34,3.69,2.052,-3.083,8.863,1.919,-3.125,8.774,-0.027,0.647,-0.637,47.034
'0:00.039',-19.541,1229.572,7.128,-6.538,4.171,2.04,-3.058,8.912,1.899,-3.132,8.862,-0.036,0.642,-0.691,47.038
'0:00.043',-17.935,1229.485,6.932,-6.688,3.777,2.017,-2.985,8.901,1.87,-3.016,8.823,-0.05,0.651,-0.645,47.042
'0:00.047',-24.944,1229.356,6.389,-6.792,3.944,1.981,-2.914,8.805,1.87,-2.948,8.853,-0.052,0.654,-0.662,47.046
'0:00.051',-30.858,1229.139,6.038,-7.131,4.519,1.993,-2.889,8.902,1.851,-2.958,8.814,-0.038,0.647,-0.641,47.05
'0:00.055',-33.285,1228.843,6.005,-7.235,3.984,2.055,-2.84,9.001,1.87,-2.908,8.892,-0.045,0.651,-0.668,47.054
'0:00.059',-18.992,1228.597,6.237,-6.764,3.362,2.128,-2.842,9.026,2.014,-2.871,8.925,-0.045,0.651,-0.668,47.058
'0:00.063',-17.935,1228.568,5.558,-6.698,2.941,2.263,-2.857,9.028,2.11,-2.863,8.916,-0.052,0.645,-0.639,47.062
'0:00.066',-9.829,1228.789,5.439,-6.406,2.279,2.36,-2.895,9.028,2.148,-2.912,8.946,-0.038,0.656,-0.695,47.066
'0:00.070',-16.055,1229.147,4.991,-5.718,2.353,2.397,-2.896,9.017,2.187,-2.941,8.966,-0.052,0.645,-0.666,47.07
'0:00.074',-17.113,1229.526,4.554,-5.84,2.56,2.385,-2.92,8.992,2.206,-2.951,8.956,-0.05,0.656,-0.639,47.074
'0:00.078',-16.839,1229.881,4.554,-6.057,2.273,2.323,-2.931,9.003,2.177,-2.951,8.936,-0.059,0.649,-0.639,47.077
'0:00.082',-16.055,1230.156,4.379,-6.085,2.4,2.263,-2.87,8.967,2.187,-2.913,8.927,-0.043,0.654,-0.668,47.081
'0:00.086',-10.377,1230.36,4.071,-6.368,1.611,2.251,-2.858,8.918,2.11,-2.893,8.897,-0.043,0.654,-0.668,47.085
'0:00.090',-18.209,1230.689,3.869,-6.472,0.782,2.275,-2.847,8.919,2.13,-2.904,8.848,-0.05,0.647,-0.664,47.089
'0:00.094',-2.31,1231.448,3.895,-6.349,0.568,2.275,-2.907,8.906,2.149,-2.913,8.858,-0.033,0.654,-0.645,47.093
'0:00.098',-16.055,1232.848,3.64,-6.311,0.187,2.274,-2.944,8.893,2.188,-2.992,8.839,-0.043,0.638,-0.678,47.097
'0:00.102',-13.353,1234.844,3.425,-6.396,-0.074,2.274,-2.98,8.868,2.169,-3.023,8.75,-0.057,0.651,-0.639,47.101
'0:00.105',-9.555,1237.136,3.229,-6.651,-0.388,2.249,-2.991,8.892,2.169,-2.963,8.809,-0.061,0.658,-0.649,47.105
'0:00.109',-19.815,1239.312,3.282,-6.848,-0.802,2.237,-2.978,8.94,2.159,-2.972,8.858,-0.061,0.658,-0.649,47.109
'0:00.113',-19.541,1241.004,3.133,-6.651,-0.922,2.188,-2.952,8.952,2.139,-2.991,8.857,-0.045,0.652,-0.626,47.113
'0:00.117',-14.959,1241.962,3.355,-6.528,-1.31,2.188,-2.953,8.94,2.072,-3.01,8.827,-0.05,0.643,-0.664,47.117
'0:00.121',-27.646,1242.066,3.345,-6.952,-1.738,2.164,-2.941,8.904,2.063,-3.01,8.827,-0.062,0.651,-0.637,47.12
'0:00.125',-40.021,1241.291,3.491,-7.301,-2.152,2.189,-2.918,8.868,2.054,-2.973,8.729,-0.045,0.652,-0.693,47.124
