'Elapsed time','chest_ecg','wrist_ppg','wrist_gyro_x','wrist_gyro_y','wrist_gyro_z','wrist_low_noise_accelerometer_x','wrist_low_noise_accelerometer_y','wrist_low_noise_accelerometer_z','wrist_wide_range_accelerometer_x','wrist_wide_range_accelerometer_y','wrist_wide_range_accelerometer_z','wrist_mag_x','wrist_mag_y','wrist_mag_z','sample_times_for_all_signals_apart_from_ecg'
'0:00.000',261.645,1631.497,-22.2,-9.123,81.657,2.956,-9.563,1.595,2.846,-9.638,1.504,-0.426,0.22,-0.743,57.999
'0:00.004',429.622,1652.75,-22.641,-7.754,81.355,3.017,-9.577,1.607,2.884,-9.598,1.573,-0.422,0.222,-0.72,58.003
'0:00.008',509.406,1663.731,-22.941,-6.352,80.632,3.077,-9.65,1.607,2.961,-9.658,1.574,-0.398,0.209,-0.764,58.007
'0:00.012',415.282,1633.686,-23.446,-4.356,80.367,3.162,-9.748,1.606,2.98,-9.688,1.525,-0.424,0.215,-0.722,58.011
'0:00.016',126.846,1643.218,-23.956,-2.704,79.925,3.222,-9.881,1.629,3.105,-9.864,1.574,-0.417,0.222,-0.739,58.015
'0:00.020',-115.244,1659.352,-24.191,-1.079,80.029,3.257,-10.05,1.651,3.172,-9.962,1.585,-0.396,0.222,-0.758,58.019
'0:00.023',-410.719,1662.99,-24.585,0.87,79.67,3.328,-10.208,1.661,3.248,-10.088,1.683,-0.396,0.222,-0.758,58.023
'0:00.027',-669.561,1664.472,-24.917,2.508,79.868,3.376,-10.341,1.683,3.267,-10.147,1.673,-0.389,0.201,-0.791,58.027
'0:00.031',-778.742,1682.795,-25.227,4.153,79.681,3.411,-10.461,1.73,3.296,-10.313,1.633,-0.375,0.199,-0.833,58.031
'0:00.035',-763.359,1697.447,-25.497,5.738,79.878,3.41,-10.556,1.777,3.343,-10.516,1.72,-0.361,0.202,-0.835,58.034
'0:00.039',-662.521,1690.845,-25.852,6.931,79.93,3.384,-10.663,1.787,3.324,-10.623,1.709,-0.368,0.202,-0.789,58.038
'0:00.043',-503.214,1653.491,-25.74,7.889,79.852,3.371,-10.795,1.784,3.323,-10.746,1.845,-0.384,0.216,-0.754,58.042
'0:00.047',-349.251,1657.87,-26.301,8.759,79.759,3.32,-10.95,1.781,3.304,-10.825,1.785,-0.384,0.216,-0.754,58.046
'0:00.051',-191.573,1657.87,-26.383,8.873,79.312,3.245,-11.117,1.752,3.217,-11.017,1.811,-0.366,0.209,-0.772,58.05
'0:00.055',-10.625,1659.352,-26.744,8.293,79.478,3.145,-11.284,1.712,3.092,-11.22,1.759,-0.372,0.206,-0.797,58.054
'0:00.059',62.706,1652.009,-26.74,7.579,79.119,3.081,-11.512,1.67,3.063,-11.355,1.738,-0.354,0.195,-0.802,58.058
'0:00.063',117.916,1657.87,-27.213,5.704,78.833,3.018,-11.715,1.654,2.997,-11.609,1.627,-0.352,0.201,-0.779,58.062
'0:00.066',147.314,1647.631,-27.582,4.396,78.578,2.954,-11.919,1.577,2.939,-11.755,1.557,-0.328,0.204,-0.854,58.066
'0:00.070',171.888,1635.909,-28.226,2.394,78.032,2.927,-12.148,1.512,2.901,-12.086,1.475,-0.342,0.19,-0.829,58.07
'0:00.074',200.959,1601.452,-29.057,-0.661,77.309,2.95,-12.353,1.496,2.901,-12.212,1.455,-0.342,0.19,-0.829,58.074
'0:00.078',192.095,1573.631,-29.623,-3.398,76.743,2.923,-12.545,1.516,2.882,-12.368,1.424,-0.326,0.193,-0.793,58.077
'0:00.082',215.561,1561.169,-30.438,-6.21,76.254,2.958,-12.713,1.562,2.871,-12.619,1.519,-0.325,0.202,-0.81,58.081
'0:00.086',228.467,1553.859,-31.411,-9.163,75.884,2.968,-12.869,1.596,2.919,-12.715,1.588,-0.328,0.195,-0.793,58.085
'0:00.090',235.507,1569.96,-32.28,-12.083,75.292,3.004,-12.94,1.68,2.918,-12.908,1.645,-0.307,0.19,-0.806,58.089
'0:00.094',248.152,1550.929,-33.19,-15.11,74.278,3.053,-12.963,1.765,2.966,-12.917,1.704,-0.3,0.188,-0.846,58.093
'0:00.098',254.605,1542.138,-33.711,-17.834,73.154,3.09,-12.914,1.887,3.022,-12.944,1.88,-0.3,0.176,-0.85,58.097
'0:00.102',246.783,1536.277,-34.34,-20.518,72.343,3.115,-12.84,2.01,3.05,-12.816,1.999,-0.298,0.176,-0.85,58.101
'0:00.105',261.384,1519.403,-34.557,-22.898,70.965,3.141,-12.718,2.17,3.107,-12.748,2.079,-0.311,0.181,-0.85,58.105
'0:00.109',267.055,1534.054,-34.528,-24.975,68.963,3.13,-12.546,2.318,3.144,-12.531,2.306,-0.276,0.163,-0.869,58.109
'0:00.113',277.55,1510.612,-34.393,-26.984,67.007,3.146,-12.267,2.468,3.106,-12.432,2.335,-0.297,0.174,-0.833,58.113
'0:00.117',283.742,1549.447,-33.941,-28.764,64.553,3.161,-11.989,2.583,3.153,-12.158,2.494,-0.291,0.176,-0.818,58.117
'0:00.121',277.81,1540.656,-33.443,-30.241,61.781,3.127,-11.686,2.684,3.162,-11.972,2.564,-0.276,0.176,-0.852,58.12
'0:00.125',278.332,1552.377,-32.66,-31.751,58.546,3.095,-11.287,2.764,3.133,-11.515,2.626,-0.276,0.176,-0.852,58.124
'0:00.129',283.742,1591.213,-31.803,-33.315,55.052,3.014,-10.875,2.818,3.046,-10.997,2.726,-0.274,0.165,-0.848,58.128
'0:00.133',291.564,1610.243,-30.788,-34.354,51.437,2.982,-10.441,2.874,3.046,-10.704,2.797,-0.284,0.17,-0.829,58.132
'0:00.137',280.809,1653.491,-28.519,-36.026,42.643,2.913,-10.03,2.905,2.959,-10.176,2.897,-0.27,0.154,-0.848,58.136
'0:00.141',276.767,1726.009,-27.582,-36.673,37.947,2.88,-9.644,2.948,2.941,-9.925,2.831,-0.262,0.158,-0.908,58.14
'0:00.145',278.593,1736.989,-26.392,-37.01,33.355,2.823,-9.306,2.977,2.873,-9.504,2.931,-0.27,0.146,-0.875,58.144
'0:00.148',283.221,1813.919,-25.157,-36.916,28.8,2.814,-8.957,2.983,2.835,-9.067,2.924,-0.265,0.153,-0.848,58.148
'0:00.152',273.769,1823.452,-23.946,-36.397,24.099,2.805,-8.692,3.012,2.844,-8.862,2.974,-0.265,0.153,-0.848,58.152
'0:00.156',278.332,1891.591,-22.466,-35.527,19.819,2.807,-8.45,3.065,2.834,-8.559,3.074,-0.258,0.151,-0.846,58.156
'0:00.160',274.29,1939.183,-21.177,-34.536,15.664,2.785,-8.269,3.104,2.825,-8.463,3.036,-0.255,0.154,-0.889,58.159
'0:00.164',261.906,1980.949,-20.054,-33.106,12.06,2.763,-8.076,3.095,2.786,-8.218,3.105,-0.265,0.144,-0.869,58.163
'0:00.168',267.837,2023.456,-18.583,-31.502,8.508,2.727,-7.943,3.097,2.758,-8.112,3.037,-0.262,0.135,-0.864,58.167
'0:00.172',272.139,2057.138,-17.101,-29.216,5.055,2.679,-7.846,3.11,2.661,-7.915,3.125,-0.267,0.146,-0.846,58.171
'0:00.176',258.972,2084.994,-15.449,-26.478,1.56,2.656,-7.749,3.112,2.613,-7.788,3.116,-0.267,0.146,-0.846,58.175
'0:00.180',256.495,2140.67,-13.904,-23.599,-1.95,2.656,-7.689,3.101,2.604,-7.73,3.106,-0.249,0.142,-0.86,58.179
