'Elapsed time','chest_ecg','wrist_ppg','wrist_gyro_x','wrist_gyro_y','wrist_gyro_z','wrist_low_noise_accelerometer_x','wrist_low_noise_accelerometer_y','wrist_low_noise_accelerometer_z','wrist_wide_range_accelerometer_x','wrist_wide_range_accelerometer_y','wrist_wide_range_accelerometer_z','wrist_mag_x','wrist_mag_y','wrist_mag_z','sample_times_for_all_signals_apart_from_ecg'
'0:00.000',70.499,1411.355,-0.105,3.327,10.35,0.747,-1.484,9.237,0.6,-1.513,9.107,0.114,0.783,-0.507,45.997
'0:00.004',49.187,1403.096,0.686,2.993,10.373,0.685,-1.508,9.175,0.533,-1.542,9.076,0.119,0.787,-0.503,46.001
'0:00.008',39.237,1395.715,1.502,2.26,10.29,0.672,-1.568,9.137,0.495,-1.562,9.007,0.118,0.785,-0.503,46.005
'0:00.012',36.81,1389.979,1.908,1.522,10.125,0.672,-1.593,9.089,0.505,-1.582,8.977,0.114,0.789,-0.511,46.009
'0:00.016',28.968,1386.17,2.684,1.226,9.856,0.648,-1.594,9.016,0.495,-1.592,8.948,0.116,0.789,-0.503,46.013
'0:00.020',21.152,1384.156,3.091,-0.338,9.732,0.611,-1.559,8.919,0.448,-1.623,8.81,0.116,0.789,-0.503,46.017
'0:00.023',17.925,1383.487,3.429,-1.823,9.653,0.527,-1.498,8.87,0.333,-1.525,8.78,0.119,0.787,-0.505,46.021
'0:00.027',23.313,1383.623,3.832,-2.767,9.829,0.478,-1.435,8.931,0.343,-1.477,8.771,0.119,0.792,-0.501,46.025
'0:00.031',19.285,1384.149,4.571,-2.918,9.743,0.515,-1.41,9.029,0.333,-1.465,8.839,0.126,0.794,-0.488,46.029
'0:00.035',11.737,1384.787,4.907,-3.073,9.769,0.662,-1.435,9.164,0.39,-1.427,8.869,0.121,0.789,-0.501,46.032
'0:00.039',5.522,1385.274,5.368,-3.035,9.391,0.833,-1.473,9.262,0.61,-1.487,9,0.112,0.794,-0.505,46.036
'0:00.043',3.361,1385.382,5.63,-2.998,9.035,0.931,-1.451,9.288,0.668,-1.457,9.05,0.112,0.794,-0.505,46.04
'0:00.047',-7.682,1385.062,5.802,-3.435,8.683,0.932,-1.32,9.23,0.725,-1.409,9.1,0.119,0.79,-0.499,46.044
'0:00.051',2.561,1384.428,5.485,-4.111,9.207,0.909,-1.199,9.22,0.715,-1.262,9.15,0.118,0.787,-0.503,46.048
'0:00.055',8.749,1383.598,5.532,-4.036,9.743,0.898,-1.126,9.282,0.744,-1.195,9.151,0.116,0.789,-0.501,46.052
'0:00.059',3.628,1382.668,5.836,-4.092,9.799,0.959,-1.125,9.404,0.773,-1.107,9.191,0.119,0.79,-0.499,46.056
'0:00.063',4.721,1381.79,5.707,-3.867,9.646,1.068,-1.162,9.489,0.811,-1.116,9.26,0.116,0.794,-0.499,46.06
'0:00.066',10.376,1381.204,5.762,-3.867,9.151,1.202,-1.247,9.586,0.954,-1.204,9.379,0.119,0.794,-0.499,46.064
'0:00.070',17.925,1381.183,5.636,-3.557,8.656,1.25,-1.32,9.61,0.992,-1.329,9.437,0.119,0.794,-0.499,46.068
'0:00.074',7.149,1381.898,5.87,-3.242,8.54,1.262,-1.343,9.67,1.03,-1.321,9.428,0.119,0.794,-0.49,46.071
'0:00.078',19.285,1383.278,5.799,-2.782,9.042,1.201,-1.364,9.741,1.03,-1.338,9.516,0.123,0.79,-0.496,46.075
'0:00.082',21.419,1385.076,6.252,-1.875,9.713,1.127,-1.399,9.752,0.971,-1.385,9.583,0.121,0.79,-0.499,46.079
'0:00.086',27.101,1386.947,6.184,-1.842,9.822,1.053,-1.445,9.738,0.885,-1.433,9.532,0.119,0.789,-0.492,46.083
'0:00.090',18.458,1388.571,6.372,-1.79,10.065,0.942,-1.479,9.699,0.856,-1.5,9.521,0.121,0.792,-0.492,46.087
'0:00.094',23.046,1389.679,6.52,-1.574,10.152,0.881,-1.516,9.613,0.731,-1.537,9.509,0.121,0.792,-0.486,46.091
'0:00.098',18.458,1390.139,7.16,-2.312,11.028,0.819,-1.528,9.54,0.626,-1.577,9.37,0.118,0.794,-0.486,46.095
'0:00.102',21.713,1390.038,7.606,-2.857,11.257,0.758,-1.563,9.49,0.617,-1.587,9.341,0.121,0.792,-0.494,46.099
'0:00.105',27.901,1389.589,7.776,-3.308,11.553,0.721,-1.575,9.441,0.55,-1.587,9.3,0.119,0.792,-0.49,46.103
'0:00.109',33.823,1388.923,8.434,-3.623,11.763,0.733,-1.588,9.428,0.55,-1.597,9.271,0.119,0.792,-0.492,46.107
'0:00.113',37.077,1388.003,8.933,-3.641,11.598,0.782,-1.613,9.429,0.569,-1.655,9.281,0.125,0.796,-0.49,46.111
'0:00.117',17.925,1386.766,9.469,-3.862,11.872,0.806,-1.65,9.392,0.724,-1.698,9.224,0.123,0.794,-0.49,46.114
'0:00.121',23.58,1385.362,9.61,-4.581,11.785,0.782,-1.604,9.284,0.58,-1.677,9.154,0.123,0.794,-0.49,46.118
'0:00.125',29.261,1384.124,9.958,-6.118,12.156,0.673,-1.485,9.091,0.544,-1.556,8.881,0.123,0.801,-0.49,46.122
'0:00.129',32.756,1383.319,9.493,-8.274,12.823,0.517,-1.269,8.899,0.448,-1.439,8.821,0.118,0.794,-0.49,46.126
'0:00.133',34.916,1382.999,9.45,-9.237,13.389,0.396,-1.087,8.803,0.276,-1.205,8.694,0.116,0.796,-0.486,46.13
'0:00.137',33.022,1383.069,9.367,-10.107,13.483,0.385,-0.991,8.805,0.238,-1.108,8.674,0.123,0.801,-0.484,46.134
'0:00.141',24.673,1383.354,9.422,-10.478,13.333,0.484,-0.931,8.892,0.286,-1.01,8.764,0.119,0.796,-0.488,46.138
'0:00.145',31.395,1383.65,8.881,-10.75,12.853,0.667,-0.921,9.04,0.487,-0.972,8.875,0.126,0.798,-0.484,46.142
